Tv Size (Inches),OpSys,DOB,
13.3,macOS,"""22/02/2008""",5
13.3,macOS,"""27/02/2020""",8
15.6,No OS,"""18/12/2016""",1
15.4,macOS,"""03/03/1983""",23
13.3,macOS,"""20/04/2012""",30
15.6,Windows 10,"""04/03/2019""",27
15.4,Mac OS X,"""07/12/2005""",15
13.3,macOS,"""14/03/1998""",21
14,Windows 7,"""14/10/2014""",4
14,Windows 10,"""03/02/1991""",16
15.6,No OS,"""15/10/1974""",10
15.6,No OS,"""07/06/2007""",8
15.4,macOS,"""14/10/2012""",9
15.6,Windows 7,"""01/11/2012""",9
12,macOS,"""10/01/1970""",4
13.3,macOS,"""17/04/2022""",8
15.6,Windows 10,"""13/08/1986""",12
15.4,macOS,"""13/06/2001""",15
15.6,No OS,"""18/08/1992""",15
13.3,Windows 10,"""24/11/1976""",8
,,"""07/07/2012""",5
15.6,Windows 10,"""02/10/1997""",28
15.6,No OS,"""14/08/1992""",17
13.3,Windows 10,"""25/06/2018""",21
15.6,Windows 7,"""10/05/1997""",11
15.6,Windows 7,"""02/09/1980""",10
13.3,Mac OS X,"""24/09/1985""",7
15.6,Windows 10,"""15/04/1966""",10
15.6,Windows 10,"""26/10/1995""",5
17.3,Windows 10,"""04/02/2019""",6
15.6,Ubuntu,"""02/10/1973""",21
14,Windows 10,"""10/02/1977""",19
17.3,Windows 7,"""09/06/1961""",2
13.3,Windows 7,"""12/10/1984""",20
13.3,Mac OS X,"""03/09/1965""",17
14,Windows 10,"""30/05/2006""",21
15.6,Linux,"""31/08/2019""",29
17.3,Windows 10,"""22/09/1967""",7
15.6,Windows 10,"""16/08/1985""",2
15.6,Windows 10,"""03/12/1991""",8
15.6,Linux,"""25/11/1994""",25
15.6,Windows 10,"""03/08/1995""",11
15.6,Linux,"""30/07/2011""",8
15.6,Windows 10,"""14/07/2006""",8
17.3,Windows 10,"""14/03/1970""",25
13.3,macOS,"""05/11/2022""",7
,,"""31/03/1979""",2
17.3,Windows 10,"""03/10/2012""",10
15.6,Windows 10,"""01/06/1985""",30
17.3,Windows 10,"""06/05/2008""",24
,,"""08/01/2014""",17
15.6,Windows 10,"""20/02/2013""",11
15.6,ubuntu,"""13/03/2012""",17
13.3,Windows 7,"""06/04/2018""",12
15.6,Windows 10,"""01/02/1994""",24
15.6,Ubuntu,"""29/11/2017""",28
15.6,Windows 10,"""02/11/1977""",10
15.6,Windows 10,"""04/12/2000""",6
17.3,Windows 10,"""29/10/1996""",1
15.6,Linux,"""17/07/1973""",26
17.3,Windows 10,"""07/11/1999""",7
14,Windows 10,"""27/10/1980""",9
14,No OS,"""08/05/1969""",3
14,Windows 10,"""13/06/2022""",28
15.6,Windows 10,"""03/01/1987""",2
15.6,Windows 7,"""23/05/1969""",12
15.6,Windows 7,"""02/06/2022""",17
14,Windows 10,"""01/10/1986""",3
15.6,Windows 10,"""28/11/2018""",21
17.3,Linux,"""04/03/1993""",8
13.5,Windows 10 S,"""05/05/2014""",14
13.3,Windows 11,"""21/09/1971""",3
15.6,Windows 10,"""24/05/2018""",3
17.3,Windows 11,"""01/08/2003""",7
14,Windows 10,"""21/07/2005""",10
15.6,Windows 10,"""06/02/1994""",28
15.6,No OS,"""28/02/1964""",5
15.6,Windows 11,"""23/06/2000""",8
15.6,Windows 10,"""23/05/2002""",7
17.3,Windows 11,"""18/06/2012""",19
15.6,Windows 10,"""22/11/1996""",29
12,macOS,"""17/12/2012""",19
14,Windows 10,"""04/12/1964""",23
15.6,Windows 10,"""20/03/2018""",11
15.6,Windows 11,"""20/10/1975""",27
15.6,Windows 10,"""05/09/1992""",15
15.6,Windows 11,"""07/12/2010""",24
15.6,Windows 10,"""10/06/2012""",18
15.6,Windows 11,"""04/05/1960""",1
13.3,Windows 10,"""02/02/1964""",14
15.6,Windows 10,"""15/05/2017""",8
15.6,Windows 10,"""29/04/1964""",19
13.3,Windows 10,"""27/05/1997""",2
15.6,Windows 10,"""11/08/1999""",11
14,Windows 10,"""23/11/1968""",15
13.3,Windows 10,"""07/11/1980""",22
15.6,Linux,"""06/12/2011""",26
15.6,Linux,"""15/09/215""",25
15.6,Windows 10,"""10/02/2018""",14
15.6,Windows 10,"""30/08/1985""",21
15.6,Windows 10,"""23/10/2015""",7
15.6,Windows 10,"""04/07/1999""",29
15.6,Linux,"""10/10/1993""",20
13.3,Windows 10,"""31/03/1973""",20
13.5,Windows 10 S,"""17/09/1963""",24
14,Windows 11,"""30/04/1976""",3
15.6,Windows 10,"""18/06/1977""",25
14,Windows 10,"""28/04/1988""",21
15.6,Windows 10,"""27/07/2002""",5
14,Windows 10,"""15/03/1986""",8
15.6,Windows 10,"""26/06/1996""",9
13.3,Windows 10,"""14/05/1990""",9
13.3,Windows 10,"""13/09/1976""",16
14,Windows 10,"""03/06/1964""",22
13.3,Windows 10,"""08/04/2021""",1
,,"""02/09/2004""",27
14,Windows 10,"""26/10/2009""",9
15.6,Windows 10,"""19/10/1992""",8
17.3,Windows 10,"""01/11/2016""",30
15.6,Windows 11,"""10/03/2018""",25
15.6,Windows 11,"""14/06/1975""",14
15.6,Windows 10,"""11/10/2020""",15
15.6,No OS,"""29/11/1979""",14
17.3,Windows 10,"""03/10/1960""",20
15.6,Windows 10,"""24/11/2001""",14
,,"""25/07/1971""",19
14,Windows 10,"""19/12/2014""",14
14,Windows 10 S,"""14/04/977""",19
17.3,Windows 10,"""27/01/1999""",12
17.3,Windows 10,"""06/03/1993""",12
15.6,Windows 10,"""19/06/2013""",25
15.6,Windows 10,"""28/11/2016""",8
14,Windows 10,"""23/04/2008""",6
15.6,Windows 10,"""03/09/1963""",22
15.6,Windows 10,"""30/01/2006""",2
14,Windows 10,"""26/07/20050""",17
15.6,No OS,"""09/01/2012""",11
17.3,Windows 10,"""04/02/1964""",18
15.6,No OS,"""24/09/2015""",7
13.3,Windows 10,"""02/02/1964""",19
17.3,Windows 10,"""11/07/2002""",20
14,Windows 10,"""04/01/1976""",22
15.6,No OS,"""08/01/1970""",15
15.6,Windows 10,"""26/03/1995""",30
15.6,Windows 10,"""21/12/1996""",8
14,Windows 10,"""05/08/2014""",19
12.5,Windows 10,"""26/07/2001""",2
15.6,Windows 10,"""24/10/2001""",24
,,"""01/01/2004""",8
15.6,Windows 10,"""15/11/2009""",27
15.6,Windows 10,"""23/10/1971""",3
15.6,Windows 10,,27
15.6,Windows 10,"""04/06/1985""",22
17.3,Windows 10,"""26/03/1992""",9
14,Windows 10,"""10/11/1998""",14
15.6,Windows 10,"""25/10/1969""",8
14,Windows 10,"""22/10/2001""",7
13.3,Windows 10,"""13/02/2018""",9
15.6,Windows 10,,2
15.6,Windows 10,"""22/09/1968""",2
15.6,Windows 10,"""22/11/19890""",15
17.3,Windows 10,"""13/05/1999""",12
15.6,Windows 10,"""25/01/2012""",18
15.6,Windows 10,"""02/06/2013""",27
15.6,Windows 10,"""20/09/1962""",21
15.6,Windows 10,"""11/06/1968""",11
15.6,Windows 10,"""07/06/1972""",25
15.6,Windows 10,,26
17.3,Windows 10,"""30/10/2022""",16
13.3,Windows 10,"""19/01/1995""",12
13,Windows 10,"""13/03/2015""",1
17.3,Windows 10,"""11/09/2007""",22
15.6,No OS,"""12/10/1991""",30
15.6,Windows 10,"""08/02/1976""",21
17.3,Windows 10,"""23/01/1980""",5
15.6,Windows 10,"""20/07/2021""",23
15.6,Windows 10,"""22/06/2007""",18
18.4,Windows 10,"""16/07/1982""",15
15.6,Windows 10,"""15/06/1961""",20
13.3,Windows 10,"""09/07/1973""",24
15.6,Linux,"""22/02/2017""",27
13.3,Windows 10,"""24/09/2011""",22
13.9,Windows 10,"""08/09/2016""",2
15.6,Windows 10,"""02/12/2019""",16
15.6,No OS,"""13/02/1977""",11
17.3,Windows 10,"""03/03/1972""",3
15.6,Windows 10,"""15/01/1989""",27
15.6,No OS,"""04/02/1983""",12
13.3,Windows 10,"""03/12/2014""",13
17.3,Windows 10,"""24/09/1976""",25
,,"""01/04/2019""",14
14,Windows 10,"""28/01/1960""",10
13.3,No OS,"""10/10/2002""",4
17.3,No OS,"""15/09/1993""",15
13.3,Windows 10,"""21/03/1972""",1
17.3,Windows 10,"""20/08/1989""",29
17.3,Windows 10,"""08/02/1984""",15
13.3,Windows 10,"""28/07/2009""",11
17.3,Windows 10,"""25/03/2009""",26
17.3,,"""20/06/2004""",13
15.6,Windows 10,"""29/12/2018""",7
15.6,Windows 10,"""15/10/020""",24
15.6,Windows 10,"""27/09/2001""",4
15.6,Windows 10,,11
15.6,Windows 10,"""12/03/2022""",11
15.6,No OS,"""11/06/2014""",9
15.6,Windows 10,"""20/10/2006""",10
13.3,Windows 10,,29
13.3,Windows 10,"""17/01/1988""",12
,,"""11/02/1960""",5
15.6,Linux,"""12/09/1993""",30
17.3,Windows 10,"""06/10/1969""",27
15.6,No OS,,19
15.6,No OS,"""18/04/1960""",1
13,Windows 10,"""12/01/2012""",17
13.3,Windows 10,"""13/04/2002""",28
17.3,No OS,"""26/10/1960""",24
14,Windows 10,"""11/08/1982""",8
14,Windows 10,"""19/03/2011""",7
13.3,Windows 10,"""07/01/1997""",20
15.6,Linux,"""24/12/1993""",29
14,Windows 10,"""26/04/1995""",9
13.3,Windows 10,"""30/07/2022""",27
15.6,Windows 10,"""20/11/2014""",16
17.3,Windows 10,"""21/04/1987""",28
15.6,Windows 10,"""06/05/2016""",27
15.6,Windows 10,"""26/02/1967""",9
15.6,Windows 10,"""25/07/2014""",16
17.3,Windows 10,"""11/09/1960""",14
15.6,Windows 10,"""02/01/1967""",14
15.6,Windows 10,"""27/08/2006""",28
15.6,Windows 10,"""08/11/1960""",22
15.6,Windows 10,"""20/07/1991""",29
14,Windows 10,"""27/11/1978""",18
13.3,Windows 10,"""08/05/1991""",30
15.6,Linux,"""28/07/1969""",23
15.6,Linux,"""11/05/1999""",3
15.6,Windows 10,"""24/01/1986""",7
17.3,Windows 10,"""20/02/1983""",13
15.6,Windows 10,"""24/07/1970""",8
15.6,Windows 10,"""17/01/1968""",13
17.3,Windows 10,"""24/10/1995""",8
17.3,No OS,"""28/09/1961""",20
15.6,Windows 10,"""05/02/2004""",9
13.9,Windows 10,"""05/10/1999""",19
15.6,Windows 10,,27
15.6,Windows 10,"""11/04/1984""",25
17.3,Windows 10,"""13/03/2016""",10
13.3,Windows 10,"""14/12/1992""",22
13.3,macOS,"""02/09/2018""",29
15.6,Windows 10,"""09/02/1661""",16
17.3,Windows 10,"""16/05/1967""",22
15.6,Windows 10,"""22/12/1984""",17
13.9,Windows 10,"""11/11/2005""",16
17.3,Windows 10,"""03/09/2015""",3
13.3,Windows 10,"""17/06/2021""",18
15.6,Windows 10,"""14/12/2022""",5
17.3,Windows 10,"""14/10/2022""",21
17.3,Windows 10,"""12/06/1967""",8
15.6,Windows 10,"""29/05/2003""",23
17.3,Windows 10,"""18/01/2011""",29
15.6,No OS,"""26/10/1981""",27
15.6,Windows 10,"""09/10/2016""",9
15.6,Windows 10,"""23/10/1976""",24
15.6,Windows 10,"""10/12/1966""",4
15.6,Windows 10,"""27/03/1999""",4
13.3,Windows 10,"""09/10/1974""",23
,,"""09/03/1986""",14
17.3,Windows 10,"""27/05/1989""",3
15.6,Windows 10,"""05/03/1961""",24
13.3,macOS,"""24/06/2015""",19
17.3,Windows 10,"""28/12/1974""",23
15.6,Linux,"""06/12/1980""",23
14,Windows 10,"""19/05/2014""",26
15.6,Windows 10,"""03/04/1978""",9
15.6,Windows 10,"""16/08/1990""",11
17.3,Linux,"""05/08/2011""",9
15.6,Windows 10,"""19/03/2008""",27
17.3,Windows 10,"""07/02/2001""",5
17.3,No OS,"""06/08/1989""",5
17.3,Windows 10,"""20/11/2019""",12
15.6,Linux,"""15/11/1985""",26
15.6,Windows 10,"""10/11/1991""",15
15.6,Windows 10,"""13/05/2010""",17
15.6,Windows 10,"""23/11/2017""",17
15.6,Windows 10,"""15/08/1982""",15
15.6,Windows 10,"""17/10/1995""",14
15.6,Windows 10,"""23/11/1975""",3
15.6,Windows 10,"""24/05/2020""",8
15.6,No OS,"""03/01/2012""",20
15.6,Chrome OS,"""28/06/2021""",24
17.3,Windows 10,"""18/06/1967""",5
17.3,Windows 10,"""12/06/1986""",6
15.6,Windows 10,"""02/10/1801""",14
15.6,Windows 10,"""27/03/1965""",26
15.6,Windows 10,"""01/05/1985""",12
15.6,Linux,"""01/11/2004""",28
17.3,Windows 10,"""01/08/1963""",22
15.6,Windows 10,"""14/11/1965""",30
15.6,Windows 10,"""11/03/1966""",1
14,Windows 10,"""09/08/1999""",26
17.3,Windows 10,"""04/06/2000""",1
17.3,Windows 10,"""12/10/2021""",11
15.6,No OS,"""17/03/1997""",13
15.6,Windows 10,"""01/03/1990""",6
15.6,No OS,"""27/03/1975""",7
13.3,Windows 10,"""15/08/1979""",22
15.6,Windows 10,"""31/03/1986""",19
15.6,Windows 10,"""12/09/1963""",27
15.6,Windows 10,"""13/04/1994""",5
13.3,Windows 10,"""31/05/1985""",8
13.3,Windows 10,"""17/12/2006""",2
15.6,Windows 10,"""18/04/2014""",23
15.6,Windows 10,"""09/08/1989""",9
11.6,Windows 10,"""30/05/1971""",6
15.6,Windows 10,"""21/04/1975""",8
13.3,Windows 10,"""02/01/1972""",11
13.3,Chrome OS,"""04/05/1967""",20
14,Windows 10,"""22/09/2002""",20
11.6,Windows 10,"""30/11/1979""",12
14,Windows 10,"""31/05/2002""",28
17.3,Windows 10,"""19/01/1992""",27
14,Windows 10,"""11/11/1974""",3
15.6,Windows 10,"""17/06/2006""",13
15.6,Windows 10,"""09/05/1967""",6
14,Windows 10,"""05/01/1967""",9
15.6,Windows 10,"""18/10/1981""",20
15.6,Windows 10,"""02/06/2005""",10
12.5,Windows 10,"""06/10/1989""",19
15.6,Windows 10,"""17/04/2006""",5
17.3,Windows 10,"""11/07/2014""",11
15.6,Windows 10,"""26/08/2007""",2
14,Windows 10,"""12/09/2011""",25
15.6,Windows 10,"""08/01/1984""",5
15.6,Windows 10,"""17/02/1966""",12
14,Windows 10,"""09/12/1976""",6
,,"""18/03/1989""",23
15.6,Windows 10,"""30/09/1993""",11
15.6,Linux,"""30/10/2005""",20
15.6,Windows 10,"""30/04/1983""",14
15.6,Linux,"""01/09/2006""",18
15.6,Windows 10,"""12/08/1960""",18
15.6,Windows 10,"""04/06/2014""",21
13.9,Windows 10,"""23/01/2006""",9
13.3,Windows 10,"""25/03/1996""",6
15.6,Windows 10,"""17/06/2021""",3
14,Windows 10,"""15/10/1983""",24
15.6,Windows 10,"""06/04/2006""",11
11.6,Windows 10,"""30/07/1998""",12
15.6,Windows 10,"""27/10/2018""",5
,,"""18/12/1995""",27
15.6,Windows 10,"""15/12/1964""",11
17.3,Windows 10,"""30/08/1981""",8
15.6,Windows 10,"""23/01/1984""",23
15.6,Windows 10,"""07/05/1999""",12
15.6,Windows 10,"""15/03/1984""",5
15.6,No OS,"""13/06/2021""",21
15.6,Windows 10,"""27/10/1968""",8
15.6,Ubuntu,"""21/05/1964""",30
14,Windows 10,"""22/04/2011""",5
15.6,Windows 10,"""22/08/1961""",7
14,Ubuntu,"""20/12/1977""",24
17.3,Windows 10,"""03/12/1977""",2
15.6,Windows 10,"""05/08/1987""",26
15.6,No OS,"""10/07/1964""",30
15.6,Windows 10,"""26/08/1978""",20
17.3,Windows 10,"""04/08/1968""",22
15.6,No OS,"""15/03/2016""",5
15.6,Windows 10,"""25/08/2008""",28
14,Ubuntu,"""11/11/1989""",1
15.6,Windows 10,"""01/04/1987""",21
15.6,Windows 10,"""02/10/1961""",20
17.3,Ubuntu,"""23/12/1994""",10
17.3,Windows 10,"""14/03/1964""",9
13.3,Windows 10,"""05/02/1973""",28
15.6,Ubuntu,"""16/06/1983""",28
11.6,Windows 10,"""24/12/1965""",29
15.6,Windows 10,"""05/11/2010""",18
14,Windows 10,"""13/04/1973""",17
15.6,Linux,"""14/03/1964""",23
17.3,Windows 10,"""01/03/2007""",28
15.6,No OS,"""26/10/1961""",14
15.6,Windows 10,"""21/03/1979""",17
14,Windows 10,"""12/09/1999""",25
13.3,Windows 10,"""10/03/2014""",28
14,Ubuntu,"""18/08/2004""",12
13.3,Windows 10,"""21/10/1965""",8
15.6,Windows 10,"""30/05/1998""",13
15.6,Windows 10,"""04/07/1968""",8
14,Windows 10,"""11/06/1966""",27
17.3,Windows 10,"""18/10/1988""",13
17.3,Windows 10,"""04/02/1976""",14
15.6,Windows 10,"""10/07/2015""",7
17.3,Windows 10,"""26/09/1970""",23
15.6,Linux,"""14/07/1988""",12
15.6,Windows 10,"""25/02/1973""",17
15.6,Windows 10,"""09/02/1964""",6
14,Windows 10,"""12/07/1979""",8
15.6,Windows 10,"""16/06/1971""",27
14,Windows 10,"""05/10/1969""",26
15.6,Windows 10,"""16/02/1978""",20
17.3,Windows 10,"""01/08/2001""",9
25.6,Windows 10,"""05/06/2005""",12
15.6,Linux,"""12/11/1969""",13
17.3,Windows 10,"""17/04/1965""",6
14,Windows 10,"""08/08/1965""",9
13.3,Windows 10,"""10/05/1996""",7
14,Windows 10,"""14/05/1997""",19
35.6,Windows 10,"""04/09/1997""",14
11.6,Windows 10,"""02/06/1980""",9
15.6,Windows 10,"""09/02/2008""",3
14,Windows 10,"""10/12/2018""",20
15.6,Windows 10,"""03/06/1983""",15
13.3,Windows 10,"""10/12/1982""",29
13.3,Windows 10,"""18/03/1978""",22
15.6,Linux,"""10/06/1992""",23
13.3,Windows 10,"""11/06/1978""",29
14,Windows 10,"""29/12/1975""",26
15.6,Windows 10,"""04/04/2006""",14
14,Windows 10,"""14/09/1970""",4
15.6,Windows 10,"""21/03/1990""",6
12.3,Windows 10,"""19/03/2018""",16
15.6,Windows 10,"""05/04/1988""",3
35.6,Linux,"""16/02/1960""",2
27.3,Windows 10,"""01/03/1961""",19
15.6,Windows 10,"""11/12/1998""",11
15.6,Windows 10,"""22/10/2016""",25
14,Linux,"""29/05/1964""",18
17.3,Windows 10,"""27/12/1979""",8
11.6,Windows 10,"""28/05/1973""",29
11.6,Chrome OS,"""12/03/2001""",11
13.3,Windows 10,"""26/09/1967""",11
14,Windows 10,"""24/10/1967""",24
15.6,Windows 10,"""20/03/1996""",24
15.6,Windows 10,"""21/12/2019""",14
17.3,Windows 10,"""05/10/2015""",5
15.6,Windows 10,"""04/04/1988""",29
12.3,Chrome OS,"""23/08/1983""",11
24,Windows 10,"""23/05/1992""",22
15.6,Linux,"""17/07/1995""",23
17.3,Windows 10,"""06/10/2010""",13
15.6,Windows 10,"""05/05/2004""",21
